source_file,ingested_at,sha256,bytes
customers.csv,2026-09-12T14:35:59.934266+00:00,4229a20fde8733740f6d9a4c4bc49029dec0a36c96fce4efc2b50e14e0c2c80b,18183
orders.json,2026-09-12T14:35:59.937301+00:00,5d9aa263ea52f292c1c5fc46bc5ca2a7461144613d10edf835d7ba2e271aeb1a,81439
products.parquet,2026-09-12T14:35:59.939351+00:00,cf3b6afd1eea6c5c53a1f60e8e0e9f17dddef19ea5c8e57df10350ad9de93fc7,14652
